Time,Vehicle_ID,Speed,Acceleration,Latitude,Longitude,Lane,Headway_Distance,Time_Gap,Speed_Limit,Lane_Change,From_Lane,To_Lane,Lane_Change_Reason,Collision
399.0,motorcycle_motorcycle_1741017011.558746,1.8088295502311666,-2.8158475415075372,41.887941324340254,-72.55564113275615,155473476#2_0,,,15.65,False,,,,False
400.0,motorcycle_motorcycle_1741017011.558746,-1.9369830210634973,-1.5876553801299451,41.88801197909198,-72.55567904303263,155473476#2_0,,,15.65,False,,,,False
401.0,motorcycle_motorcycle_1741017011.558746,-0.050807885578251444,0.12100931672466686,41.888106197200116,-72.55563062905178,155473476#2_0,,,15.65,False,,,,False
402.0,motorcycle_motorcycle_1741017011.558746,-3.3628904114157194,0.5426167471796361,41.88832999942669,-72.55569706627836,155473476#2_0,,,15.65,False,,,,False
403.0,motorcycle_motorcycle_1741017011.558746,4.180583666478924,0.1850893396549509,41.88791024576191,-72.55556960328816,155473476#2_0,8.688496000715531,,15.65,False,,,,False
404.0,motorcycle_motorcycle_1741017011.558746,-1.588570346859342,-0.34719924270939373,41.88783796821047,-72.55563924866192,155473476#2_0,-14.804329509555828,,15.65,False,,,,False
405.0,motorcycle_motorcycle_1741017011.558746,-2.2514121865169727,-1.2935201619657164,41.887896204609966,-72.55561469449027,155473476#2_0,12.07745525543578,,15.65,False,,,,False
406.0,motorcycle_motorcycle_1741017011.558746,-3.253943973359128,-1.5379332915235864,41.888104578706304,-72.55568728123558,155473476#2_0,-13.864196046546567,,15.65,False,,,,False
407.0,motorcycle_motorcycle_1741017011.558746,-3.98220217909693,0.3052135602410999,41.88802190489044,-72.55563399021788,155473476#2_0,2.5864494903944433,,15.65,False,,,,False
408.0,motorcycle_motorcycle_1741017011.558746,8.575938079877233,0.05609392597216356,41.887999877548665,-72.55571287032119,155473476#2_0,17.54925703862682,,15.65,False,,,,False
409.0,motorcycle_motorcycle_1741017011.558746,16.285578351576987,3.2267335050200927,41.88804691017386,-72.5556643822318,155473476#2_0,,,15.65,False,,,,False
410.0,motorcycle_motorcycle_1741017011.558746,-9.832039752829587,-1.3113334658519307,41.88812192500255,-72.55565870656892,155473476#2_0,,,15.65,False,,,,False
411.0,motorcycle_motorcycle_1741017011.558746,2.7905651378823677,-1.1383981743656477,41.88803347235498,-72.55570353628954,155473476#2_0,,,15.65,False,,,,False
412.0,motorcycle_motorcycle_1741017011.558746,-5.500173590568011,-0.41873966845014365,41.88807482669425,-72.55581142183642,155473476#2_0,56.3432456003502,,15.65,False,,,,False
413.0,motorcycle_motorcycle_1741017011.558746,-1.63900063791516,-1.4913218918754865,41.88805502003809,-72.55573330631461,155473476#2_0,,,15.65,False,,,,False
414.0,motorcycle_motorcycle_1741017011.558746,4.6844281106459675,0.9115925563364726,41.88804367189241,-72.55552910584154,155473476#2_0,,,15.65,False,,,,False
415.0,motorcycle_motorcycle_1741017011.558746,3.120420907449443,2.4774796255478577,41.88807916534818,-72.55547356332421,155473476#2_0,,,15.65,False,,,,False
416.0,motorcycle_motorcycle_1741017011.558746,-1.0690569151192904,-0.23091580560321745,41.88795660635752,-72.55566899057598,155473476#2_0,,,15.65,False,,,,False
417.0,motorcycle_motorcycle_1741017011.558746,4.250378336852009,-1.2271144767237274,41.88805641705893,-72.5556366700275,155473476#2_0,,,15.65,False,,,,False
418.0,motorcycle_motorcycle_1741017011.558746,-1.5992220137341064,1.6293196672959311,41.888126854264115,-72.55568298669341,155473476#2_0,,,15.65,False,,,,False
419.0,motorcycle_motorcycle_1741017011.558746,-2.867169399971317,0.2630944144384557,41.88821738250814,-72.55572004872006,155473476#2_0,,,15.65,False,,,,False
420.0,motorcycle_motorcycle_1741017011.558746,5.690517602110049,-1.5283173854604684,41.888095036439786,-72.55578147229414,155473476#2_0,,,15.65,False,,,,False
421.0,motorcycle_motorcycle_1741017011.558746,-0.13362001359200804,1.7408052217997465,41.88791176342174,-72.55568194797512,155473476#2_0,,,15.65,False,,,,False
422.0,motorcycle_motorcycle_1741017011.558746,-7.839729969156906,1.5079456582625426,41.88820277867038,-72.5556500318541,:178383750_5_0,,,21.71,False,,,,False
423.0,motorcycle_motorcycle_1741017011.558746,1.0211325541895349,2.239544912643396,41.888040904833005,-72.5558437008253,:178383750_5_0,,,21.71,False,,,,False
424.0,motorcycle_motorcycle_1741017011.558746,10.38464205287164,1.7730106121125573,41.88801795444302,-72.55566621743135,:178383750_5_0,,,21.71,False,,,,False
425.0,motorcycle_motorcycle_1741017011.558746,-10.692523403267842,3.2312465687373333,41.88803913386241,-72.55570753250144,155559049#0_0,,,27.78,False,,,,False
426.0,motorcycle_motorcycle_1741017011.558746,10.164442616005545,1.8123667369491159,41.888164637317765,-72.55573864268032,155559049#0_0,,,27.78,False,,,,False
427.0,motorcycle_motorcycle_1741017011.558746,5.498686910934339,1.0555005666647048,41.88788489781505,-72.55578941627034,155559049#0_0,,,27.78,False,,,,False
428.0,motorcycle_motorcycle_1741017011.558746,23.47348404409422,3.241163544515075,41.88819678496011,-72.55565075076898,155559049#0_0,,,27.78,False,,,,False
429.0,motorcycle_motorcycle_1741017011.558746,21.666025199418073,0.8884061781991477,41.88806931950043,-72.5556294458143,155559049#0_0,,,27.78,False,,,,False
430.0,motorcycle_motorcycle_1741017011.558746,10.157305134831404,2.7254844980507187,41.88795337031528,-72.55564616316589,155559049#0_0,,,27.78,False,,,,False
431.0,motorcycle_motorcycle_1741017011.558746,22.154846320161596,1.4230920537647762,41.88806735281416,-72.55567031654938,155559049#0_0,,,27.78,False,,,,False
432.0,motorcycle_motorcycle_1741017011.558746,18.404198564385297,1.1092037557828007,41.88808859854731,-72.55567831255735,155559049#0_0,,,27.78,False,,,,False
433.0,motorcycle_motorcycle_1741017011.558746,31.810766554030124,4.320145835918083,41.88798737242687,-72.55564536321381,155559049#0_0,,,27.78,False,,,,False
434.0,motorcycle_motorcycle_1741017011.558746,13.355557872106147,-0.03719545527928858,41.888075712125485,-72.55566075154215,155559049#0_0,,,27.78,False,,,,False
435.0,motorcycle_motorcycle_1741017011.558746,36.977672509412514,3.416686342045068,41.88800789258835,-72.55573053828674,155559049#0_0,,,27.78,False,,,,False
436.0,motorcycle_motorcycle_1741017011.558746,19.438676117650175,0.0663859459964442,41.88808783286313,-72.55563401853202,155559049#0_0,,,27.78,False,,,,False
437.0,motorcycle_motorcycle_1741017011.558746,19.861082928233373,1.0514988185605034,41.88806874673568,-72.55566508163308,155559049#0_0,,,27.78,False,,,,False
438.0,motorcycle_motorcycle_1741017011.558746,28.32242502058216,0.5748614233307308,41.8879103802445,-72.55553510351446,155559049#0_0,,,27.78,False,,,,False
